Nome Squadra,Partite con Somma Gol >= 3,Gol Fatti,Gol Subiti
FC Bayern München,20,74,18
1. FC Heidenheim,15,19,45
VfB Stuttgart,14,37,26
Eintracht Frankfurt,14,40,45
FC Augsburg,14,24,37
SC Freiburg,14,31,33
VfL Wolfsburg,13,28,42
TSG Hoffenheim,13,43,23
RB Leipzig,13,38,27
1. FC Union Berlin,13,25,33
Bayer 04 Leverkusen,12,38,26
1. FC Köln,11,29,32
1. FSV Mainz 05,11,23,33
Borussia M'gladbach,11,24,33
SV Werder Bremen,11,22,38
FC St. Pauli,11,18,34
Borussia Dortmund,10,41,19
Hamburger SV,10,19,29
